1,Walmart,United States,Retail,0,0
2,Sinopec,China,Petroleum,0,0
3,Royal Dutch Shell,Netherlands,Petroleum,0,0
4,China National Petroleum Corporation,China,Petroleum,0,0
5,ExxonMobil,United States,Petroleum,0,0
6,BP,United Kingdom,Petroleum,0,0
7,State Grid Corporation,China,Energy,0,0
8,Volkswagen,Germany,Automobiles,0,0
9,Toyota,Japan,Automobiles,0,0
10,Glencore,Switzerland,Mining,0,0
11,Total,France,Petroleum,0,0
12,Chevron,United States,Energy,0,0
13,Samsung,South Korea,Eletcronics,0,0
14,Berkshire Hathaway,United States,Conglomerate,0,0
15,Apple,United States,Eletcronics,0,0
16,McKesson Corporation,United States,Pharmaceutical,0,0
17,Daimler,Germany,Automobiles,0,0
18,Industrial & Comercial Bank of China,China,Bank/Investiments,0,0
19,Exor,Italy,Conglomerate,0,0
20,AXA,France,Insurance,0,0
21,General Motors,United States,Automobiles,0,0
22,E.ON,Germany,Natural Gas,0,0
23,ConocoPhillips,United States,Petroleum,0,0
24,General Electric,United States,Conglomerate,0,0
25,ENI,Italy,Petroleum,0,0
26,Gazprom,Russia,Petroleum,0,0
27,Ford,United States,Automobiles,0,0
28,Petrobras,Brazil,Petroleum,0,0
29,China Construction Bank,China,Bank/Investiments,0,0
30,CVS Health,United States,Pharmaceutical,0,0
31,Foxconn,Taiwan,Eletcronics,0,0
32,Allianz,Germany,Insurance,0,0
33,AT&T,United States,Telecommunications,0,0
34,Valero Energy,United States,Petroleum,0,0
35,UnitedHealth Group,United States,Health,0,0
36,Agricultural Bank ofChina,China,Bank/Investiments,0,0
37,China State Construction Engineering,China,Construction,0,0
38,Japan Post Holdings,Japan,Diversified,0,0
39,PDVSA,Venezuela,Petroleum,0,0
40,Trafigura,Netherlands,Mining,0,0
41,Verizon Communications,United States,Telecommunications,0,0
42,BNP Paribas,France,Bank/Investiments,0,0
43,LUKoil,Russia,Petroleum,0,0
44,Honda,Japan,Automobiles,0,0
45,Bank ofChina,China,Bank/Investiments,0,0
46,AmerisourceBergen,United States,Pharmaceutical,0,0
47,Pemex,Mexico,Petroleum,0,0
48,Assicurazioni Generali,Italy,Insurance,0,0
49,Societe Generale,France,Financial Services,0,0
50,Fannie Mae,United States,Bank/Investiments,0,0
51,Rosneft,Russia,Petroleum,0,0
52,Costco,United States,Retail,0,0
53,Hewlett-Packard,United States,Eletcronics,0,0
54,Kroger,United States,Retail,0,0
55,China Mobile,China,Telecommunications,0,0
56,BMW,Germany,Automobiles,0,0
57,SK Group,South Korea,Conglomerate,0,0
58,Credit Agricole,France,Retail Bank,0,0
59,Nissan,Japan,Automobiles,0,0
60,SAIC Motors,China,Automobiles,0,0
61,JPMorgan Chase,United States,Insurance,0,0
62,Tesco,United Kingdom,Retail,0,0
63,Siemens,Germany,Telecommunications,0,0
64,Carrefour,France,Retail,0,0
65,Nippon Telegraph and Telephone,Japan,Telecommunications,0,0
66,Express Scripts,United States,Health\Pharmaceutical,0,0
67,Grupo Santander,Spain,Bank/Investiments,0,0
68,Petronas,Malaysia,Petroleum,0,0
69,Enel,Italy,Natural Gas,0,0
70,Nestle,Switzerland,Alimentary,0,0
71,China Railway Group,China,Construction,0,0
72,CNOOC,China,Petroleum,0,0
73,Engie,France,Natural Gas,0,0
74,Prudential,United Kingdom,Financial Services,0,0
75,Statoil,Norway,Petroleum,0,0
76,BASF,Germany,Chemical,0,0
77,Noble Group,China,Conglomerate,0,0
78,Electricite deFrance,France,Energy,0,0
79,China Railway Construction,China,Construction,0,0
80,Bank of America,United States,Bank/Investiments,0,0
81,HSBC,United Kingdom,Retail Bank,0,0
82,IBM,United States,Eletcronics,0,0
83,Marathon Oil,United States,Petroleum,0,0
84,Cardinal Health,United States,Pharmaceutical,0,0
85,Boeing,United States,Aerospace,0,0
86,Citigroup,United States,Bank/Investiments,0,0
87,China Development Bank,China,Bank/Investiments,0,0
88,Amazon.com,United States,Retail,0,0
89,Hitachi,Japan,Conglomerate,0,0
90,Wells Fargo,United States,Bank/Investiments,0,0
91,ING Group,France,Bank/Investiments,0,0
92,JX Holdings,Japan,Petroleum/Mining,0,0
93,PTT Public Company Limited,Thailand,Petroleum,0,0
94,China Life Insurance,China,Insurance,0,0
95,Microsoft,United States,Eletcronics,0,0
96,Ping An,China,Insurance,0,0
97,Metro AG,Germany,Retail,0,0
98,Legal & General,United Kingdom,Financial Services,0,0
99,Hyundai,South Korea,Automobiles,0,0
100,Procter & Gamble,United States,Consumer Goods,0,0
101,Ambev,Brazil,Beverage,0,0
102,Vale,Brazil,Mining,0,0
103,CSN,Brazil,Steel Mill,0,0
104,Gerdau,Brazil,Steel Mill,0,0